Day,avgPrecipIn,avgTempMax,avgTempMean,avgTempMin
1,0.251463415,27.73414634,22.63170732,17.54634146
2,0.272926829,28.15121951,23.0902439,18.02439024
3,0.287804878,28.05853659,22.61463415,17.17804878
4,0.241463415,27.26585366,22.31463415,17.34146342
5,0.368292683,27.77073171,22.49756098,17.2195122
6,0.283414634,27.8902439,22.66341463,17.43170732
7,0.392439024,29.07317073,23.66097561,18.25609756
8,0.403414634,29.52682927,24.38780488,19.23658537
9,0.315121951,28.90243902,23.90731707,18.9
10,0.306341463,29.12195122,24.15609756,19.19756098
11,0.26902439,28.34878049,23.47560976,18.59756098
12,0.242682927,28.51219512,23.64634146,18.75609756
13,0.323170732,30.08292683,24.68536585,19.28292683
14,0.211463415,30.54390244,25.27317073,20.01463415
15,0.250243902,30.6,25.19268293,19.76097561
16,0.212439024,30.0097561,24.32439024,18.63170732
17,0.299512195,30.68292683,25.02926829,19.37317073
18,0.317317073,31.28780488,25.68536585,20.1
19,0.285121951,31.76585366,26.3902439,21.02682927
20,0.144146341,31.23902439,25.75121951,20.25365854
21,0.17,30.59268293,25.28536585,19.98536585
22,0.165365854,30.25365854,24.84878049,19.43658537
23,0.352682927,30.42439024,24.99512195,19.57073171
24,0.289756098,30.8,25.61707317,20.42439024
25,0.269512195,30.75853659,25.41219512,20.05365854
26,0.218292683,30.84390244,25.33170732,19.82439024
27,0.174390244,30.79268293,25.18780488,19.55853659
28,0.217073171,30.4902439,24.88536585,19.28292683
29,0.28195122,30.37317073,25.19268293,20
30,0.316585366,31.07317073,25.68048781,20.28048781
31,0.278780488,30.98536585,25.38536585,19.77073171
32,0.330731707,30.21707317,24.66097561,19.11219512
33,0.222926829,29.4097561,23.54146342,17.67073171
34,0.167073171,29.96341463,24.12682927,18.30487805
35,0.121219512,30.41463415,24.49756098,18.5902439
36,0.212926829,31.45121951,25.48048781,19.51463415
37,0.211707317,31.58292683,25.55365854,19.51463415
38,0.285853659,30.79268293,25.02439024,19.23902439
39,0.252682927,30.37804878,24.50243902,18.61707317
40,0.244390244,30.54146342,24.31463415,18.08780488
41,0.16097561,31.15365854,24.69512195,18.23170732
42,0.223170732,31.48780488,25.24634146,19.0097561
43,0.233658537,31.79756098,25.48292683,19.16585366
44,0.239756098,31.7195122,25.55365854,19.40243902
45,0.224390244,31.38780488,25.14634146,18.89756098
46,0.245853659,31.49756098,25.33658537,19.18048781
47,0.401219512,31.43902439,25.35365854,19.27073171
48,0.253902439,30.72195122,24.8195122,18.89756098
49,0.256097561,30.26585366,24.26829268,18.28536585
50,0.31804878,30.5097561,24.36585366,18.22682927
51,0.295609756,30.76585366,24.56585366,18.35853659
52,0.187560976,31.63902439,25.19268293,18.73658537
53,0.266585366,31.95609756,25.50243902,19.05365854
